['Date:20140107', 'Maturity:201401', 'Strike_price:7800', 'CallPut:call', 'close:750']
['Date:20140107', 'Maturity:201401', 'Strike_price:7900', 'CallPut:call', 'close:650']
['Date:20140107', 'Maturity:201401', 'Strike_price:8000', 'CallPut:call', 'close:550']
['Date:20140107', 'Maturity:201401', 'Strike_price:8100', 'CallPut:call', 'close:461']
['Date:20140107', 'Maturity:201401', 'Strike_price:8200', 'CallPut:call', 'close:352']
['Date:20140107', 'Maturity:201401', 'Strike_price:8300', 'CallPut:call', 'close:260']
['Date:20140107', 'Maturity:201401', 'Strike_price:8400', 'CallPut:call', 'close:161']
['Date:20140107', 'Maturity:201401', 'Strike_price:8500', 'CallPut:call', 'close:81']
['Date:20140107', 'Maturity:201401', 'Strike_price:8600', 'CallPut:call', 'close:29']
['Date:20140107', 'Maturity:201401', 'Strike_price:8700', 'CallPut:call', 'close:6']
['Date:20140107', 'Maturity:201402', 'Strike_price:6800', 'CallPut:call', 'close:1740']
['Date:20140107', 'Maturity:201402', 'Strike_price:6900', 'CallPut:call', 'close:1640']
['Date:20140107', 'Maturity:201402', 'Strike_price:7000', 'CallPut:call', 'close:1540']
['Date:20140107', 'Maturity:201402', 'Strike_price:7100', 'CallPut:call', 'close:1440']
['Date:20140107', 'Maturity:201402', 'Strike_price:7200', 'CallPut:call', 'close:1340']
['Date:20140107', 'Maturity:201402', 'Strike_price:7300', 'CallPut:call', 'close:1240']
['Date:20140107', 'Maturity:201402', 'Strike_price:7400', 'CallPut:call', 'close:1140']
['Date:20140107', 'Maturity:201402', 'Strike_price:7500', 'CallPut:call', 'close:1040']
['Date:20140107', 'Maturity:201402', 'Strike_price:7600', 'CallPut:call', 'close:940']
['Date:20140107', 'Maturity:201402', 'Strike_price:7700', 'CallPut:call', 'close:840']
['Date:20140107', 'Maturity:201402', 'Strike_price:7800', 'CallPut:call', 'close:740']
['Date:20140107', 'Maturity:201402', 'Strike_price:7900', 'CallPut:call', 'close:640']
['Date:20140107', 'Maturity:201402', 'Strike_price:8000', 'CallPut:call', 'close:550']
['Date:20140107', 'Maturity:201402', 'Strike_price:8100', 'CallPut:call', 'close:454']
['Date:20140107', 'Maturity:201402', 'Strike_price:8200', 'CallPut:call', 'close:355']
['Date:20140107', 'Maturity:201402', 'Strike_price:8300', 'CallPut:call', 'close:276']
['Date:20140107', 'Maturity:201402', 'Strike_price:8400', 'CallPut:call', 'close:205']
['Date:20140107', 'Maturity:201402', 'Strike_price:8500', 'CallPut:call', 'close:140']
['Date:20140107', 'Maturity:201402', 'Strike_price:8600', 'CallPut:call', 'close:91']
['Date:20140107', 'Maturity:201402', 'Strike_price:8700', 'CallPut:call', 'close:54']
['Date:20140107', 'Maturity:201402', 'Strike_price:8800', 'CallPut:call', 'close:28.5']
['Date:20140107', 'Maturity:201402', 'Strike_price:8900', 'CallPut:call', 'close:15']
['Date:20140107', 'Maturity:201402', 'Strike_price:9000', 'CallPut:call', 'close:6.1']
['Date:20140107', 'Maturity:201402', 'Strike_price:9100', 'CallPut:call', 'close:2.9']
['Date:20140107', 'Maturity:201402', 'Strike_price:9200', 'CallPut:call', 'close:1.1']
['Date:20140108', 'Maturity:201401', 'Strike_price:6800', 'CallPut:call', 'close:1780']
['Date:20140108', 'Maturity:201401', 'Strike_price:6900', 'CallPut:call', 'close:1680']
['Date:20140108', 'Maturity:201401', 'Strike_price:7000', 'CallPut:call', 'close:1580']
['Date:20140108', 'Maturity:201401', 'Strike_price:7100', 'CallPut:call', 'close:1480']
['Date:20140108', 'Maturity:201401', 'Strike_price:7200', 'CallPut:call', 'close:1380']
['Date:20140108', 'Maturity:201401', 'Strike_price:7300', 'CallPut:call', 'close:1280']
['Date:20140108', 'Maturity:201401', 'Strike_price:7400', 'CallPut:call', 'close:1180']
['Date:20140108', 'Maturity:201401', 'Strike_price:7500', 'CallPut:call', 'close:1080']
['Date:20140108', 'Maturity:201401', 'Strike_price:7600', 'CallPut:call', 'close:980']
['Date:20140108', 'Maturity:201401', 'Strike_price:7700', 'CallPut:call', 'close:880']
['Date:20140108', 'Maturity:201401', 'Strike_price:7800', 'CallPut:call', 'close:790']
['Date:20140108', 'Maturity:201401', 'Strike_price:7900', 'CallPut:call', 'close:685']
['Date:20140108', 'Maturity:201401', 'Strike_price:8000', 'CallPut:call', 'close:580']
['Date:20140108', 'Maturity:201401', 'Strike_price:8100', 'CallPut:call', 'close:480']
['Date:20140108', 'Maturity:201401', 'Strike_price:8200', 'CallPut:call', 'close:387']
['Date:20140108', 'Maturity:201401', 'Strike_price:8300', 'CallPut:call', 'close:285']
['Date:20140108', 'Maturity:201401', 'Strike_price:8350', 'CallPut:call', 'close:229']
['Date:20140108', 'Maturity:201401', 'Strike_price:8400', 'CallPut:call', 'close:188']
['Date:20140108', 'Maturity:201401', 'Strike_price:8450', 'CallPut:call', 'close:143']
['Date:20140108', 'Maturity:201401', 'Strike_price:8500', 'CallPut:call', 'close:99']
['Date:20140108', 'Maturity:201401', 'Strike_price:8550', 'CallPut:call', 'close:66']
['Date:20140108', 'Maturity:201401', 'Strike_price:8600', 'CallPut:call', 'close:38.5']
['Date:20140108', 'Maturity:201401', 'Strike_price:8650', 'CallPut:call', 'close:19.5']
['Date:20140108', 'Maturity:201401', 'Strike_price:8700', 'CallPut:call', 'close:8.4']
['Date:20140108', 'Maturity:201401', 'Strike_price:8750', 'CallPut:call', 'close:3.1']
['Date:20140108', 'Maturity:201401', 'Strike_price:8800', 'CallPut:call', 'close:1.1']
['Date:20140108', 'Maturity:201402', 'Strike_price:6800', 'CallPut:call', 'close:1770']
['Date:20140108', 'Maturity:201402', 'Strike_price:6900', 'CallPut:call', 'close:1670']
['Date:20140108', 'Maturity:201402', 'Strike_price:7000', 'CallPut:call', 'close:1570']
['Date:20140108', 'Maturity:201402', 'Strike_price:7100', 'CallPut:call', 'close:1470']
['Date:20140108', 'Maturity:201402', 'Strike_price:7200', 'CallPut:call', 'close:1370']
['Date:20140108', 'Maturity:201402', 'Strike_price:7300', 'CallPut:call', 'close:1270']
['Date:20140108', 'Maturity:201402', 'Strike_price:7400', 'CallPut:call', 'close:1170']
['Date:20140108', 'Maturity:201402', 'Strike_price:7500', 'CallPut:call', 'close:1070']
['Date:20140108', 'Maturity:201402', 'Strike_price:7600', 'CallPut:call', 'close:970']
['Date:20140108', 'Maturity:201402', 'Strike_price:7700', 'CallPut:call', 'close:865']
['Date:20140108', 'Maturity:201402', 'Strike_price:7800', 'CallPut:call', 'close:775']
['Date:20140108', 'Maturity:201402', 'Strike_price:7900', 'CallPut:call', 'close:680']
['Date:20140108', 'Maturity:201402', 'Strike_price:8000', 'CallPut:call', 'close:580']
['Date:20140108', 'Maturity:201402', 'Strike_price:8100', 'CallPut:call', 'close:486']
['Date:20140108', 'Maturity:201402', 'Strike_price:8200', 'CallPut:call', 'close:387']
['Date:20140108', 'Maturity:201402', 'Strike_price:8300', 'CallPut:call', 'close:305']
['Date:20140108', 'Maturity:201402', 'Strike_price:8400', 'CallPut:call', 'close:226']
['Date:20140108', 'Maturity:201402', 'Strike_price:8500', 'CallPut:call', 'close:159']
['Date:20140108', 'Maturity:201402', 'Strike_price:8600', 'CallPut:call', 'close:104']
['Date:20140108', 'Maturity:201402', 'Strike_price:8700', 'CallPut:call', 'close:61']
['Date:20140108', 'Maturity:201402', 'Strike_price:8800', 'CallPut:call', 'close:33']
['Date:20140108', 'Maturity:201402', 'Strike_price:8900', 'CallPut:call', 'close:16']
['Date:20140108', 'Maturity:201402', 'Strike_price:9000', 'CallPut:call', 'close:7.2']
['Date:20140108', 'Maturity:201402', 'Strike_price:9100', 'CallPut:call', 'close:2.9']
['Date:20140108', 'Maturity:201402', 'Strike_price:9200', 'CallPut:call', 'close:1.1']
['Date:20140109', 'Maturity:201401', 'Strike_price:6800', 'CallPut:call', 'close:1720']
['Date:20140109', 'Maturity:201401', 'Strike_price:6900', 'CallPut:call', 'close:1620']
['Date:20140109', 'Maturity:201401', 'Strike_price:7000', 'CallPut:call', 'close:1520']
['Date:20140109', 'Maturity:201401', 'Strike_price:7100', 'CallPut:call', 'close:1420']
['Date:20140109', 'Maturity:201401', 'Strike_price:7200', 'CallPut:call', 'close:1320']
['Date:20140109', 'Maturity:201401', 'Strike_price:7300', 'CallPut:call', 'close:1220']
['Date:20140109', 'Maturity:201401', 'Strike_price:7400', 'CallPut:call', 'close:1120']
['Date:20140109', 'Maturity:201401', 'Strike_price:7500', 'CallPut:call', 'close:1020']
['Date:20140109', 'Maturity:201401', 'Strike_price:7600', 'CallPut:call', 'close:925']
['Date:20140109', 'Maturity:201401', 'Strike_price:7700', 'CallPut:call', 'close:825']
['Date:20140109', 'Maturity:201401', 'Strike_price:7800', 'CallPut:call', 'close:725']
['Date:20140109', 'Maturity:201401', 'Strike_price:7900', 'CallPut:call', 'close:625']
['Date:20140109', 'Maturity:201401', 'Strike_price:8000', 'CallPut:call', 'close:525']
['Date:20140109', 'Maturity:201401', 'Strike_price:8100', 'CallPut:call', 'close:428']
['Date:20140109', 'Maturity:201401', 'Strike_price:8200', 'CallPut:call', 'close:328']
['Date:20140109', 'Maturity:201401', 'Strike_price:8300', 'CallPut:call', 'close:231']
['Date:20140109', 'Maturity:201401', 'Strike_price:8350', 'CallPut:call', 'close:184']
['Date:20140109', 'Maturity:201401', 'Strike_price:8400', 'CallPut:call', 'close:136']
['Date:20140109', 'Maturity:201401', 'Strike_price:8450', 'CallPut:call', 'close:93']
['Date:20140109', 'Maturity:201401', 'Strike_price:8500', 'CallPut:call', 'close:55']
['Date:20140109', 'Maturity:201401', 'Strike_price:8550', 'CallPut:call', 'close:28.5']
['Date:20140109', 'Maturity:201401', 'Strike_price:8600', 'CallPut:call', 'close:13.5']
['Date:20140109', 'Maturity:201401', 'Strike_price:8650', 'CallPut:call', 'close:5.1']
