['Date:20180104', 'Maturity:201801', 'Strike_price:10700', 'CallPut:call', 'close:167']
['Date:20180104', 'Maturity:201801', 'Strike_price:10800', 'CallPut:call', 'close:95']
['Date:20180104', 'Maturity:201801', 'Strike_price:10900', 'CallPut:call', 'close:44']
['Date:20180104', 'Maturity:201801', 'Strike_price:11000', 'CallPut:call', 'close:16.5']
['Date:20180104', 'Maturity:201801', 'Strike_price:11100', 'CallPut:call', 'close:5.1']
['Date:20180104', 'Maturity:201801', 'Strike_price:11200', 'CallPut:call', 'close:1.9']
['Date:20180104', 'Maturity:201802', 'Strike_price:8800', 'CallPut:call', 'close:2020']
['Date:20180104', 'Maturity:201802', 'Strike_price:8900', 'CallPut:call', 'close:1920']
['Date:20180104', 'Maturity:201802', 'Strike_price:9000', 'CallPut:call', 'close:1820']
['Date:20180104', 'Maturity:201802', 'Strike_price:9100', 'CallPut:call', 'close:1720']
['Date:20180104', 'Maturity:201802', 'Strike_price:9200', 'CallPut:call', 'close:1620']
['Date:20180104', 'Maturity:201802', 'Strike_price:9300', 'CallPut:call', 'close:1520']
['Date:20180104', 'Maturity:201802', 'Strike_price:9400', 'CallPut:call', 'close:1420']
['Date:20180104', 'Maturity:201802', 'Strike_price:9500', 'CallPut:call', 'close:1320']
['Date:20180104', 'Maturity:201802', 'Strike_price:9600', 'CallPut:call', 'close:1220']
['Date:20180104', 'Maturity:201802', 'Strike_price:9700', 'CallPut:call', 'close:1120']
['Date:20180104', 'Maturity:201802', 'Strike_price:9800', 'CallPut:call', 'close:1030']
['Date:20180104', 'Maturity:201802', 'Strike_price:9900', 'CallPut:call', 'close:930']
['Date:20180104', 'Maturity:201802', 'Strike_price:10000', 'CallPut:call', 'close:830']
['Date:20180104', 'Maturity:201802', 'Strike_price:10100', 'CallPut:call', 'close:735']
['Date:20180104', 'Maturity:201802', 'Strike_price:10200', 'CallPut:call', 'close:640']
['Date:20180104', 'Maturity:201802', 'Strike_price:10300', 'CallPut:call', 'close:545']
['Date:20180104', 'Maturity:201802', 'Strike_price:10400', 'CallPut:call', 'close:453']
['Date:20180104', 'Maturity:201802', 'Strike_price:10500', 'CallPut:call', 'close:368']
['Date:20180104', 'Maturity:201802', 'Strike_price:10600', 'CallPut:call', 'close:286']
['Date:20180104', 'Maturity:201802', 'Strike_price:10700', 'CallPut:call', 'close:215']
['Date:20180104', 'Maturity:201802', 'Strike_price:10800', 'CallPut:call', 'close:153']
['Date:20180104', 'Maturity:201802', 'Strike_price:10900', 'CallPut:call', 'close:101']
['Date:20180104', 'Maturity:201802', 'Strike_price:11000', 'CallPut:call', 'close:63']
['Date:20180104', 'Maturity:201802', 'Strike_price:11100', 'CallPut:call', 'close:35.5']
['Date:20180104', 'Maturity:201802', 'Strike_price:11200', 'CallPut:call', 'close:20']
['Date:20180104', 'Maturity:201802', 'Strike_price:11300', 'CallPut:call', 'close:9.9']
['Date:20180104', 'Maturity:201802', 'Strike_price:11400', 'CallPut:call', 'close:5.2']
['Date:20180104', 'Maturity:201802', 'Strike_price:11500', 'CallPut:call', 'close:2.7']
['Date:20180104', 'Maturity:201802', 'Strike_price:11600', 'CallPut:call', 'close:1.8']
['Date:20180104', 'Maturity:201802', 'Strike_price:11700', 'CallPut:call', 'close:1.2']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:9900', 'CallPut:call', 'close:970']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10000', 'CallPut:call', 'close:870']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10100', 'CallPut:call', 'close:770']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10200', 'CallPut:call', 'close:670']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10300', 'CallPut:call', 'close:570']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10400', 'CallPut:call', 'close:470']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10450', 'CallPut:call', 'close:420']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10500', 'CallPut:call', 'close:370']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10550', 'CallPut:call', 'close:320']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10600', 'CallPut:call', 'close:270']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10650', 'CallPut:call', 'close:220']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10700', 'CallPut:call', 'close:170']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10750', 'CallPut:call', 'close:125']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10800', 'CallPut:call', 'close:82']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10850', 'CallPut:call', 'close:48']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10900', 'CallPut:call', 'close:22.5']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:10950', 'CallPut:call', 'close:9.8']
['Date:20180105', 'Maturity:201801W2', 'Strike_price:11000', 'CallPut:call', 'close:3.1']
['Date:20180105', 'Maturity:201801', 'Strike_price:8800', 'CallPut:call', 'close:2060']
['Date:20180105', 'Maturity:201801', 'Strike_price:8900', 'CallPut:call', 'close:1960']
['Date:20180105', 'Maturity:201801', 'Strike_price:9000', 'CallPut:call', 'close:1860']
['Date:20180105', 'Maturity:201801', 'Strike_price:9100', 'CallPut:call', 'close:1760']
['Date:20180105', 'Maturity:201801', 'Strike_price:9200', 'CallPut:call', 'close:1660']
['Date:20180105', 'Maturity:201801', 'Strike_price:9300', 'CallPut:call', 'close:1560']
['Date:20180105', 'Maturity:201801', 'Strike_price:9400', 'CallPut:call', 'close:1460']
['Date:20180105', 'Maturity:201801', 'Strike_price:9500', 'CallPut:call', 'close:1360']
['Date:20180105', 'Maturity:201801', 'Strike_price:9600', 'CallPut:call', 'close:1260']
['Date:20180105', 'Maturity:201801', 'Strike_price:9700', 'CallPut:call', 'close:1160']
['Date:20180105', 'Maturity:201801', 'Strike_price:9800', 'CallPut:call', 'close:1060']
['Date:20180105', 'Maturity:201801', 'Strike_price:9900', 'CallPut:call', 'close:960']
['Date:20180105', 'Maturity:201801', 'Strike_price:10000', 'CallPut:call', 'close:860']
['Date:20180105', 'Maturity:201801', 'Strike_price:10100', 'CallPut:call', 'close:760']
['Date:20180105', 'Maturity:201801', 'Strike_price:10200', 'CallPut:call', 'close:660']
['Date:20180105', 'Maturity:201801', 'Strike_price:10300', 'CallPut:call', 'close:560']
['Date:20180105', 'Maturity:201801', 'Strike_price:10400', 'CallPut:call', 'close:466']
['Date:20180105', 'Maturity:201801', 'Strike_price:10500', 'CallPut:call', 'close:368']
['Date:20180105', 'Maturity:201801', 'Strike_price:10600', 'CallPut:call', 'close:268']
['Date:20180105', 'Maturity:201801', 'Strike_price:10700', 'CallPut:call', 'close:177']
['Date:20180105', 'Maturity:201801', 'Strike_price:10800', 'CallPut:call', 'close:101']
['Date:20180105', 'Maturity:201801', 'Strike_price:10900', 'CallPut:call', 'close:46']
['Date:20180105', 'Maturity:201801', 'Strike_price:11000', 'CallPut:call', 'close:16.5']
['Date:20180105', 'Maturity:201801', 'Strike_price:11100', 'CallPut:call', 'close:4.7']
['Date:20180105', 'Maturity:201801', 'Strike_price:11200', 'CallPut:call', 'close:1.6']
['Date:20180105', 'Maturity:201802', 'Strike_price:8800', 'CallPut:call', 'close:2040']
['Date:20180105', 'Maturity:201802', 'Strike_price:8900', 'CallPut:call', 'close:1940']
['Date:20180105', 'Maturity:201802', 'Strike_price:9000', 'CallPut:call', 'close:1840']
['Date:20180105', 'Maturity:201802', 'Strike_price:9100', 'CallPut:call', 'close:1740']
['Date:20180105', 'Maturity:201802', 'Strike_price:9200', 'CallPut:call', 'close:1640']
['Date:20180105', 'Maturity:201802', 'Strike_price:9300', 'CallPut:call', 'close:1540']
['Date:20180105', 'Maturity:201802', 'Strike_price:9400', 'CallPut:call', 'close:1440']
['Date:20180105', 'Maturity:201802', 'Strike_price:9500', 'CallPut:call', 'close:1340']
