['Date:20150107', 'Maturity:201501', 'Strike_price:7500', 'CallPut:call', 'close:1550']
['Date:20150107', 'Maturity:201501', 'Strike_price:7600', 'CallPut:call', 'close:1450']
['Date:20150107', 'Maturity:201501', 'Strike_price:7700', 'CallPut:call', 'close:1350']
['Date:20150107', 'Maturity:201501', 'Strike_price:7800', 'CallPut:call', 'close:1250']
['Date:20150107', 'Maturity:201501', 'Strike_price:7900', 'CallPut:call', 'close:1150']
['Date:20150107', 'Maturity:201501', 'Strike_price:8000', 'CallPut:call', 'close:1050']
['Date:20150107', 'Maturity:201501', 'Strike_price:8100', 'CallPut:call', 'close:950']
['Date:20150107', 'Maturity:201501', 'Strike_price:8200', 'CallPut:call', 'close:850']
['Date:20150107', 'Maturity:201501', 'Strike_price:8300', 'CallPut:call', 'close:750']
['Date:20150107', 'Maturity:201501', 'Strike_price:8400', 'CallPut:call', 'close:650']
['Date:20150107', 'Maturity:201501', 'Strike_price:8500', 'CallPut:call', 'close:550']
['Date:20150107', 'Maturity:201501', 'Strike_price:8600', 'CallPut:call', 'close:451']
['Date:20150107', 'Maturity:201501', 'Strike_price:8700', 'CallPut:call', 'close:362']
['Date:20150107', 'Maturity:201501', 'Strike_price:8800', 'CallPut:call', 'close:275']
['Date:20150107', 'Maturity:201501', 'Strike_price:8900', 'CallPut:call', 'close:193']
['Date:20150107', 'Maturity:201501', 'Strike_price:9000', 'CallPut:call', 'close:124']
['Date:20150107', 'Maturity:201501', 'Strike_price:9100', 'CallPut:call', 'close:72']
['Date:20150107', 'Maturity:201501', 'Strike_price:9200', 'CallPut:call', 'close:35.5']
['Date:20150107', 'Maturity:201501', 'Strike_price:9300', 'CallPut:call', 'close:14.5']
['Date:20150107', 'Maturity:201501', 'Strike_price:9400', 'CallPut:call', 'close:5.2']
['Date:20150107', 'Maturity:201501', 'Strike_price:9500', 'CallPut:call', 'close:2.4']
['Date:20150107', 'Maturity:201501', 'Strike_price:9600', 'CallPut:call', 'close:1.4']
['Date:20150107', 'Maturity:201502', 'Strike_price:7500', 'CallPut:call', 'close:1540']
['Date:20150107', 'Maturity:201502', 'Strike_price:7600', 'CallPut:call', 'close:1440']
['Date:20150107', 'Maturity:201502', 'Strike_price:7700', 'CallPut:call', 'close:1340']
['Date:20150107', 'Maturity:201502', 'Strike_price:7800', 'CallPut:call', 'close:1240']
['Date:20150107', 'Maturity:201502', 'Strike_price:7900', 'CallPut:call', 'close:1140']
['Date:20150107', 'Maturity:201502', 'Strike_price:8000', 'CallPut:call', 'close:1050']
['Date:20150107', 'Maturity:201502', 'Strike_price:8100', 'CallPut:call', 'close:950']
['Date:20150107', 'Maturity:201502', 'Strike_price:8200', 'CallPut:call', 'close:850']
['Date:20150107', 'Maturity:201502', 'Strike_price:8300', 'CallPut:call', 'close:760']
['Date:20150107', 'Maturity:201502', 'Strike_price:8400', 'CallPut:call', 'close:665']
['Date:20150107', 'Maturity:201502', 'Strike_price:8500', 'CallPut:call', 'close:575']
['Date:20150107', 'Maturity:201502', 'Strike_price:8600', 'CallPut:call', 'close:485']
['Date:20150107', 'Maturity:201502', 'Strike_price:8700', 'CallPut:call', 'close:400']
['Date:20150107', 'Maturity:201502', 'Strike_price:8800', 'CallPut:call', 'close:339']
['Date:20150107', 'Maturity:201502', 'Strike_price:8900', 'CallPut:call', 'close:256']
['Date:20150107', 'Maturity:201502', 'Strike_price:9000', 'CallPut:call', 'close:193']
['Date:20150107', 'Maturity:201502', 'Strike_price:9100', 'CallPut:call', 'close:141']
['Date:20150107', 'Maturity:201502', 'Strike_price:9200', 'CallPut:call', 'close:98']
['Date:20150107', 'Maturity:201502', 'Strike_price:9300', 'CallPut:call', 'close:65']
['Date:20150107', 'Maturity:201502', 'Strike_price:9400', 'CallPut:call', 'close:41']
['Date:20150107', 'Maturity:201502', 'Strike_price:9500', 'CallPut:call', 'close:23.5']
['Date:20150107', 'Maturity:201502', 'Strike_price:9600', 'CallPut:call', 'close:12.5']
['Date:20150107', 'Maturity:201502', 'Strike_price:9700', 'CallPut:call', 'close:7']
['Date:20150107', 'Maturity:201502', 'Strike_price:9800', 'CallPut:call', 'close:3.2']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:8400', 'CallPut:call', 'close:860']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:8500', 'CallPut:call', 'close:760']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:8600', 'CallPut:call', 'close:660']
['Date:20150108', 'Maturity:201501W2', 'Strike_price:8700', 'CallPut:call', 'close:560']
