['time:1271952000000', 'tradeDate:1271952000000', 'open:7951', 'high:7983', 'low:7937', 'close:7958', 'volume:79346']
['time:1271865600000', 'tradeDate:1271865600000', 'open:7905', 'high:7953', 'low:7843', 'close:7925', 'volume:116094']
['time:1271779200000', 'tradeDate:1271779200000', 'open:7950', 'high:7998', 'low:7923', 'close:7980', 'volume:75433']
['time:1271692800000', 'tradeDate:1271692800000', 'open:7880', 'high:7911', 'low:7825', 'close:7876', 'volume:90356']
['time:1267977600000', 'tradeDate:1267977600000', 'open:7729', 'high:7758', 'low:7686', 'close:7755', 'volume:78128']
['time:1268064000000', 'tradeDate:1268064000000', 'open:7771', 'high:7774', 'low:7724', 'close:7764', 'volume:57308']
['time:1279123200000', 'tradeDate:1279123200000', 'open:7677', 'high:7728', 'low:7668', 'close:7707', 'volume:76060']
['time:1279036800000', 'tradeDate:1279036800000', 'open:7660', 'high:7703', 'low:7645', 'close:7703', 'volume:82523']
['time:1279209600000', 'tradeDate:1279209600000', 'open:7701', 'high:7715', 'low:7635', 'close:7669', 'volume:106135']
['time:1267459200000', 'tradeDate:1267459200000', 'open:7595', 'high:7649', 'low:7569', 'close:7601', 'volume:85761']
['time:1267545600000', 'tradeDate:1267545600000', 'open:7596', 'high:7664', 'low:7578', 'close:7611', 'volume:90229']
['time:1267372800000', 'tradeDate:1267372800000', 'open:7413', 'high:7605', 'low:7395', 'close:7575', 'volume:118336']
['time:1277827200000', 'tradeDate:1277827200000', 'open:7126', 'high:7168', 'low:7092', 'close:7153', 'volume:88601']
['time:1267632000000', 'tradeDate:1267632000000', 'open:7622', 'high:7639', 'low:7463', 'close:7526', 'volume:117200']
['time:1267718400000', 'tradeDate:1267718400000', 'open:7603', 'high:7692', 'low:7558', 'close:7659', 'volume:117270']
['time:1282147200000', 'tradeDate:1282147200000', 'open:7899', 'high:7922', 'low:7847', 'close:7918', 'volume:88915']
['time:1283270400000', 'tradeDate:1283270400000', 'open:7569', 'high:7638', 'low:7569', 'close:7630', 'volume:77257']
['time:1281283200000', 'tradeDate:1281283200000', 'open:7911', 'high:8001', 'low:7911', 'close:7987', 'volume:71723']
['time:1290528000000', 'tradeDate:1290528000000', 'open:8281', 'high:8353', 'low:8271', 'close:8305', 'volume:94334']
['time:1290700800000', 'tradeDate:1290700800000', 'open:8354', 'high:8358', 'low:8294', 'close:8300', 'volume:82714']
['time:1290441600000', 'tradeDate:1290441600000', 'open:8374', 'high:8375', 'low:8306', 'close:8330', 'volume:74225']
['time:1290355200000', 'tradeDate:1290355200000', 'open:8323', 'high:8396', 'low:8312', 'close:8373', 'volume:90490']
['time:1280764800000', 'tradeDate:1280764800000', 'open:7911', 'high:7916', 'low:7868', 'close:7914', 'volume:58141']
['time:1280678400000', 'tradeDate:1280678400000', 'open:7748', 'high:7878', 'low:7746', 'close:7870', 'volume:88137']
['time:1280937600000', 'tradeDate:1280937600000', 'open:7960', 'high:7960', 'low:7875', 'close:7913', 'volume:88965']
['time:1280851200000', 'tradeDate:1280851200000', 'open:7886', 'high:7928', 'low:7872', 'close:7911', 'volume:79056']
['time:1281024000000', 'tradeDate:1281024000000', 'open:7890', 'high:7932', 'low:7880', 'close:7929', 'volume:65549']
['time:1271001600000', 'tradeDate:1271001600000', 'open:8158', 'high:8168', 'low:8086', 'close:8126', 'volume:79826']
['time:1271088000000', 'tradeDate:1271088000000', 'open:8086', 'high:8119', 'low:8013', 'close:8019', 'volume:118213']
['time:1286121600000', 'tradeDate:1286121600000', 'open:8238', 'high:8285', 'low:8214', 'close:8217', 'volume:90840']
